=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.12.06 02:12:48 =~=~=~=~=~=~=~=~=~=~=~=
,-20.81
2237.16,-20.91
2237.16,-19.73
2237.16,-20.91
2237.16,-21.34
2237.16,-21.02
2237.16,-21.02
2237.16,-21.34
2237.16,-20.05
2237.18,-20.91
2237.18,-21.13
2237.18,-21.34
2237.18,-20.91
2237.18,-21.88
2237.18,-19.51
2237.18,-20.91
2237.18,-20.91
2237.18,-21.34
2237.19,-21.24
2237.19,-21.13
2237.19,-21.24
2237.19,-19.73
2237.19,-19.51
2237.19,-21.02
2237.19,-21.56
2237.19,-20.91
2237.19,-20.91
2237.19,-19.94
2237.20,-21.34
2237.20,-21.13
2237.20,-20.48
2237.20,-19.19
2237.20,-20.27
2237.20,-21.45
2237.20,-21.45
2237.20,-21.45
2237.20,-22.75
2237.21,-21.02
2237.21,-21.24
2237.21,-20.91
2237.22,-21.24
2237.22,-20.91
2237.22,-22.31
2237.22,-21.24
2237.22,-20.70
2237.22,-21.24
2237.23,-21.45
2237.23,-21.67
2237.23,-21.88
2237.23,-21.56
2237.23,-21.34
2237.23,-21.45
2237.23,-21.56
2237.23,-20.16
2237.23,-21.02
2237.23,-20.91
2237.24,-21.02
2237.24,-21.24
2237.24,-21.67
2237.24,-21.99
2237.24,-21.56
2237.24,-22.42
2237.24,-20.91
2237.24,-21.02
2237.24,-20.81
2237.25,-21.24
2237.25,-21.13
2237.25,-20.91
2237.25,-21.24
2237.25,-20.27
2237.25,-21.34
2237.26,-19.73
2237.26,-21.24
2237.26,-21.56
2237.27,-22.64
2237.27,-21.34
2237.27,-20.59
2237.27,-21.24
2237.27,-20.91
2237.27,-21.24
2237.27,-20.27
2237.27,-19.19
2237.27,-21.02
2237.27,-20.91
2237.28,-21.34
2237.28,-21.24
2237.28,-21.45
2237.28,-20.91
2237.28,-21.45
2237.28,-21.02
2237.28,-22.21
2237.28,-21.24
2237.28,-21.13
2237.29,-21.02
2237.29,-21.56
2237.29,-21.67
2237.29,-21.56
2237.29,-21.34
2237.29,-21.24
2237.29,-21.45
2237.29,-19.19
2237.29,-21.67
2237.30,-20.91
2237.30,-21.34
2237.30,-21.45
2237.30,-22.31
2237.31,-21.88
2237.31,-19.94
2237.31,-19.08
2237.31,-21.45
2237.31,-21.13
2237.31,-21.24
2237.32,-21.45
2237.32,-21.67
2237.32,-20.91
2237.32,-20.91
2237.32,-21.34
2237.32,-20.48
2237.32,-21.45
2237.32,-20.59
2237.32,-20.91
2237.33,-21.56
2237.33,-21.45
2237.33,-20.81
2237.33,-21.24
2237.33,-21.13
2237.33,-20.91
2237.33,-21.13
2237.33,-21.99
2237.33,-20.91
2237.34,-21.02
2237.34,-21.67
2237.34,-21.13
2237.34,-21.24
2237.34,-20.91
2237.34,-19.19
2237.34,-20.91
2237.34,-21.02
2237.35,-21.56
2237.35,-20.37
2237.36,-21.34
2237.36,-21.56
2237.36,-20.91
2237.36,-19.40
2237.36,-21.99
2237.36,-21.02
2237.36,-21.24
2237.36,-21.13
2237.36,-21.34
2237.37,-20.81
2237.37,-20.91
2237.37,-21.24
2237.37,-21.02
2237.37,-20.91
2237.37,-20.59
2237.37,-19.19
2237.37,-20.81
2237.37,-22.42
2237.38,-21.24
2237.38,-21.99
2237.38,-21.45
2237.38,-19.73
2237.38,-20.91
2237.38,-21.67
2237.38,-21.34
2237.38,-21.34
2237.39,-21.56
2237.39,-21.02
2237.40,-21.56
2237.40,-21.13
2237.40,-21.02
2237.40,-22.53
2237.40,-21.34
2237.40,-21.67
2237.40,-21.24
2237.40,-20.48
2237.40,-21.13
2237.41,-20.91
2237.41,-19.84
2237.41,-21.13
2237.41,-21.24
2237.41,-21.45
2237.41,-21.78
2237.41,-21.13
2237.41,-20.16
2237.41,-19.62
2237.42,-21.45
2237.42,-21.88
2237.42,-21.56
