=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.12.06 01:43:46 =~=~=~=~=~=~=~=~=~=~=~=,
3.9,-19.84
493.9,-18.65
493.9,-19.08
493.92,-20.91
493.92,-19.19
493.92,-20.37
493.92,-20.7
493.92,-20.48
493.92,-19.19
493.92,-20.37
493.92,-20.48
493.92,-20.7
493.92,-20.16
493.93,-20.59
493.93,-20.48
493.93,-20.37
493.93,-20.37
493.93,-20.59
493.93,-19.84
493.93,-18.76
493.93,-21.24
493.93,-20.7
493.93,-20.81
493.94,-20.37
493.94,-20.59
493.94,-20.37
493.94,-19.84
493.94,-19.94
493.94,-20.59
493.94,-20.7
493.94,-18.86
493.94,-20.16
493.94,-20.7
493.95,-20.37
493.96,-20.27
493.96,-20.91
493.96,-19.51
493.96,-20.37
493.96,-20.37
493.96,-19.73
493.96,-19.51
493.96,-20.81
493.96,-20.16
493.97,-19.08
493.97,-19.51
493.97,-20.91
493.97,-20.37
493.97,-20.81
493.97,-19.94
493.97,-20.59
493.97,-20.91
493.97,-20.59
493.97,-19.08
493.98,-20.27
493.98,-20.48
493.98,-20.37
493.98,-21.34
493.98,-20.81
493.98,-20.59
493.98,-21.02
493.98,-20.05
493.98,-20.16
493.98,-18.86
494,-20.81
494,-20.59
494,-18.43
494,-20.27
494,-19.94
494,-20.16
494,-19.19
494,-20.7
494,-20.7
494,-20.48
494,-20.91
494.01,-18.97
494.01,-20.16
494.01,-20.81
494.01,-20.7
494.01,-20.16
494.01,-20.91
494.01,-20.7
494.01,-20.16
494.01,-20.27
494.01,-20.7
494.02,-18.11
494.02,-20.05
494.02,-19.4
494.02,-20.59
494.02,-20.59
494.02,-18.86
494.02,-20.59
494.02,-20.91
494.02,-20.91
494.02,-19.19
494.04,-18.97
494.04,-20.48
494.04,-20.27
494.04,-19.84
494.04,-19.51
494.04,-20.37
494.04,-20.91
494.04,-19.62
494.04,-20.27
494.04,-20.81
494.05,-20.91
494.05,-19.08
494.05,-20.59
494.05,-20.91
494.05,-20.59
494.05,-20.81
494.05,-20.37
494.05,-20.91
494.05,-20.81
494.05,-19.73
494.06,-20.48
494.06,-20.91
494.06,-20.91
494.06,-23.07
494.06,-20.81
494.06,-18
494.06,-20.37
494.06,-20.16
494.06,-20.91
494.06,-20.16
494.07,-20.27
494.07,-20.27
494.07,-18.97
494.07,-19.19
494.07,-20.16
494.08,-20.91
494.08,-20.16
494.08,-19.19
494.08,-20.48
494.08,-19.73
494.09,-18.76
494.09,-20.59
494.09,-20.7
494.09,-20.59
494.09,-20.16
494.09,-20.91
494.09,-20.59
494.09,-18.22
494.09,-20.7
494.09,-20.27
494.09,-20.37
494.1,-20.27
494.1,-20.48
494.1,-20.81
494.1,-20.91
494.1,-19.84
494.1,-19.73
494.1,-20.37
