=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.12.05 23:00:12 =~=~=~=~=~=~=~=~=~=~=~=
,-0.54
9461.07,-0.86
9461.07,-2.37
9461.07,-1.72
9461.07,-1.83
9461.08,-1.62
9461.08,-1.51
9461.08,-0.86
9461.08,-1.40
9461.08,-1.51
9461.08,-2.05
9461.08,-1.51
9461.08,-1.94
9461.08,-1.40
9461.08,-0.22
9461.09,-1.83
9461.09,-0.32
9461.09,-0.86
9461.09,-1.72
9461.09,-2.48
9461.09,-0.22
9461.09,-0.54
9461.09,-1.72
9461.09,-1.29
9461.09,-1.83
9461.10,-1.40
9461.11,-1.72
9461.11,-1.40
9461.11,-1.83
9461.11,-1.29
9461.11,-0.65
9461.11,-1.19
9461.11,-1.40
9461.11,-1.40
9461.11,0.43
9461.11,-1.62
9461.12,-2.48
9461.12,-0.22
9461.12,-1.62
9461.12,-1.62
9461.12,-1.72
9461.12,-1.29
9461.12,-1.29
9461.12,-0.86
9461.12,-1.19
9461.12,-0.75
9461.13,-1.19
9461.13,-1.62
9461.13,-1.62
9461.13,-1.94
9461.13,-0.65
9461.13,-1.29
9461.13,-1.29
9461.13,-1.40
9461.13,-1.19
9461.13,-1.40
9461.14,-0.11
9461.14,-1.72
9461.15,-2.91
9461.15,-1.40
9461.15,-2.26
9461.15,1.08
9461.15,-1.29
9461.15,-1.94
9461.15,-1.72
9461.15,-1.83
9461.16,-0.86
9461.16,-1.40
9461.16,-1.62
9461.16,-1.83
9461.16,-2.16
9461.16,-0.32
9461.16,-0.86
9461.16,-0.86
9461.16,-1.29
9461.16,-1.83
9461.17,-1.51
9461.17,0.11
9461.17,-1.29
9461.17,-1.83
9461.17,-1.83
9461.17,-1.83
9461.17,-1.94
9461.17,-1.72
9461.17,-0.75
9461.17,-1.83
9461.17,-2.16
9461.18,-0.75
9461.18,-1.83
9461.18,-1.62
9461.19,-2.05
9461.19,-1.62
9461.19,0.54
9461.19,-1.51
9461.19,0.00
9461.19,-1.72
9461.19,-1.94
9461.20,-2.05
9461.20,-1.51
9461.20,-0.75
9461.20,-0.11
9461.20,-1.40
9461.20,-1.72
9461.20,-1.40
9461.20,-0.75
9461.20,-1.94
9461.20,-1.62
9461.21,-1.62
9461.21,-0.43
9461.21,-1.29
9461.21,-1.29
9461.21,-2.05
9461.21,-1.40
9461.21,-1.72
9461.21,-1.83
9461.21,-1.62
9461.21,-1.62
9461.22,-1.83
9461.22,-0.75
9461.22,-1.29
9461.22,-1.62
9461.23,-1.19
9461.23,-1.62
9461.23,0.43
9461.23,-1.72
9461.23,-1.29
9461.23,-1.29
9461.24,-1.83
9461.24,-2.05
9461.24,-1.83
9461.24,-2.91
9461.24,-0.75
9461.24,-0.75
9461.24,-3.77
9461.24,-1.72
9461.24,0.32
9461.24,-1.94
9461.24,-0.22
9461.25,-1.62
9461.25,-0.22
9461.25,-0.54
9461.25,-0.75
9461.25,-2.05
9461.25,-1.19
9461.25,-1.19
9461.25,-1.40
9461.25,-1.72
9461.25,0.86
9461.26,0.86
9461.26,-1.62
9461.26,-0.86
9461.26,-1.51
9461.26,-1.29
9461.27,-1.62
9461.27,-1.40
9461.27,-1.40
9461.27,-1.72
9461.27,0.22
9461.28,-1.62
9461.28,-0.86
9461.28,-2.48
9461.28,-1.72
9461.28,-1.72
9461.28,-0.22
9461.28,-1.62
9461.28,-1.72
9461.28,-1.83
9461.28,-0.22
9461.29,-0.54
9461.29,-1.72
9461.29,-1.19
9461.29,-1.62
9461.29,-0.75
9461.29,-1.29
9461.29,0.97
9461.29,-1.94
9461.29,-1.40
9461.29,-1.72
9461.30,-0.11
9461.30,-1.83
9461.30,-1.19
9461.30,-2.05
9461.30,-1.72
9461.30,-1.29
9461.30,-1.40
9461.31,-1.72
9461.31,-1.83
9461.31,-1.72
9461.31,-1.62
9461.32,-1.29
9461.32,-2.48
9461.32,-1.94
9461.32,-3.45
9461.32,-1.62
9461.32,-1.40
9461.32,-1.83
9461.32,-1.94
9461.32,-1.72
9461.32,-1.40
9461.33,0.11
9461.33,-1.72
9461.33,-1.83
9461.33,-0.65
9461.33,-1.40
9461.33,-1.94
9461.33,-1.62
9461.33,-0.22
9461.33,-1.83
9461.33,-1.83
9461.34,-1.72
9461.34,-1.19
9461.34,-0.97
9461.34,-1.72
9461.34,-1.83
9461.34,-1.19
9461.34,0.32
9461.34,-0.97
9461.35,0.32
9461.35,-1.40
9461.36,-2.05
9461.36,-2.16
9461.36,-0.32
9461.36,-1.51
9461.36,-0.75
9461.36,-1.40
9461.36,-1.72
9461.36,-0.97
9461.36,-1.62
9461.36,-1.83
9461.37,-1.29
9461.37,-1.08
