=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.12.06 01:51:03 =~=~=~=~=~=~=~=~=~=~=~=
,-21.67
931.68,-22.10
931.68,-21.67
931.68,-21.78
931.68,-21.99
931.68,-21.88
931.68,-19.94
931.68,-21.99
931.68,-21.88
931.69,-22.42
931.69,-21.78
931.69,-22.10
931.69,-21.67
931.69,-22.10
931.69,-20.81
931.69,-20.16
931.69,-22.10
931.69,-21.88
931.69,-20.59
931.70,-21.24
931.70,-20.81
931.70,-20.91
931.70,-21.99
931.70,-20.16
931.70,-21.88
931.70,-22.31
931.70,-20.16
931.70,-21.13
931.71,-22.31
931.72,-21.67
931.72,-20.91
931.72,-21.24
931.72,-22.64
931.72,-21.67
931.72,-24.47
931.72,-21.88
931.72,-21.88
931.72,-20.70
931.72,-22.31
931.73,-21.67
931.73,-21.56
931.73,-21.99
931.73,-22.31
931.73,-21.88
931.73,-21.88
931.73,-22.10
931.73,-22.42
931.73,-21.34
931.73,-21.88
931.74,-21.24
931.74,-21.02
931.74,-21.56
931.74,-20.59
931.74,-21.99
931.74,-21.88
931.74,-21.34
931.74,-21.13
931.74,-21.88
931.74,-21.67
931.75,-21.99
931.75,-21.78
931.75,-21.88
931.76,-21.88
931.76,-21.45
931.76,-21.45
931.76,-21.13
931.76,-20.27
931.76,-20.91
931.76,-21.88
931.76,-21.56
931.77,-21.13
931.77,-22.21
931.77,-21.99
931.77,-21.24
931.77,-21.13
931.77,-21.88
931.77,-22.10
931.77,-21.56
931.77,-20.27
931.77,-21.99
931.78,-21.56
931.78,-21.45
931.78,-20.70
931.78,-21.78
931.78,-22.31
931.78,-20.16
931.78,-20.91
931.78,-20.91
931.78,-21.67
931.78,-21.88
931.79,-22.31
931.79,-22.10
931.79,-21.24
931.79,-21.88
931.80,-22.42
931.80,-21.67
931.80,-22.10
931.80,-19.73
931.80,-21.78
931.80,-22.85
931.81,-21.56
931.81,-20.37
931.81,-20.91
931.81,-21.45
931.81,-21.24
931.81,-21.56
931.81,-21.24
931.81,-21.34
931.81,-21.88
931.81,-21.56
931.82,-21.56
931.82,-21.88
931.82,-21.45
931.82,-20.91
931.82,-21.56
931.82,-21.78
931.82,-21.88
931.82,-21.67
931.82,-21.56
931.82,-21.56
931.83,-21.88
931.83,-21.99
931.84,-20.27
931.84,-21.67
931.84,-22.53
931.84,-21.56
931.84,-20.59
931.84,-20.27
931.84,-21.56
931.84,-21.56
931.85,-22.10
931.85,-21.78
931.85,-21.02
931.85,-21.56
931.85,-22.31
931.85,-20.16
931.85,-21.67
931.85,-21.67
931.85,-21.67
931.85,-21.78
931.85,-20.91
931.86,-20.81
931.86,-21.67
931.86,-21.78
931.86,-21.88
931.86,-21.34
931.86,-22.10
931.86,-21.99
931.86,-21.45
931.86,-21.99
931.86,-21.67
931.87,-21.34
931.87,-21.99
931.87,-20.70
931.87,-21.88
931.87,-19.73
931.87,-21.45
931.87,-21.88
931.88,-21.13
931.88,-21.34
931.88,-22.64
931.89,-21.56
