=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.12.05 23:14:27 =~=~=~=~=~=~=~=~=~=~=~=
,28.89
10316.66,29.11
10316.66,29.11
10316.66,29.11
10316.66,29.11
10316.67,28.89
10316.67,29.11
10316.67,29.00
10316.67,30.83
10316.67,29.43
10316.67,28.67
10316.67,29.00
10316.67,29.11
10316.67,29.65
10316.68,29.00
10316.68,29.00
10316.68,29.00
10316.68,28.78
10316.68,28.57
10316.68,28.46
10316.68,29.11
10316.68,30.72
10316.68,29.21
10316.68,29.65
10316.70,28.67
10316.70,28.67
10316.70,28.89
10316.70,28.78
10316.70,29.11
10316.70,28.57
10316.70,29.11
10316.70,28.78
10316.70,30.51
10316.71,29.00
10316.71,28.89
10316.71,29.00
10316.71,30.62
10316.71,29.11
10316.71,28.14
10316.71,29.00
10316.71,28.78
10316.71,29.97
10316.72,30.18
10316.72,29.11
10316.72,30.83
10316.72,28.89
10316.72,28.89
10316.72,29.00
10316.72,28.78
10316.72,29.65
10316.72,29.00
10316.73,29.11
10316.73,30.51
10316.73,30.18
10316.73,28.46
10316.73,29.00
10316.73,28.57
10316.74,30.51
10316.74,28.35
10316.74,30.62
10316.75,29.00
10316.75,29.11
10316.75,29.11
10316.75,29.11
10316.75,28.78
10316.75,29.11
10316.75,28.78
10316.75,28.78
10316.75,29.11
10316.75,29.11
10316.76,30.83
10316.76,28.89
10316.76,29.21
10316.76,29.00
10316.76,29.11
10316.76,30.72
10316.76,28.78
10316.76,29.11
10316.76,28.14
10316.77,28.57
10316.77,29.00
10316.77,28.14
10316.77,31.05
10316.77,29.43
10316.77,28.78
10316.77,28.89
10316.77,29.11
10316.77,28.57
10316.78,29.21
10316.78,29.43
10316.79,29.75
10316.79,28.89
10316.79,28.57
10316.79,29.00
10316.79,30.08
10316.79,29.00
10316.79,28.78
10316.80,29.11
10316.80,29.00
10316.80,29.00
10316.80,29.11
10316.80,29.32
10316.80,28.46
10316.80,28.78
10316.80,29.43
10316.80,28.89
10316.81,28.78
10316.81,28.78
10316.81,29.65
10316.81,28.35
10316.81,28.89
10316.81,28.89
10316.81,29.32
10316.81,29.11
10316.81,29.11
10316.81,28.67
10316.82,30.51
10316.82,29.11
10316.82,29.00
10316.82,29.11
10316.82,28.14
10316.82,28.89
10316.82,29.00
10316.82,28.89
10316.83,28.89
10316.84,29.00
10316.84,28.14
10316.84,28.78
10316.84,29.11
10316.84,29.54
10316.84,28.78
10316.84,28.89
10316.84,28.78
10316.84,27.92
10316.85,28.57
10316.85,28.78
10316.85,29.11
10316.85,28.14
10316.85,28.78
10316.85,29.00
10316.85,27.92
10316.85,28.78
10316.85,28.89
10316.86,28.78
10316.86,28.46
10316.86,29.00
10316.86,27.49
10316.86,29.00
10316.86,28.89
10316.86,28.78
10316.86,28.89
10316.86,28.78
10316.87,28.89
10316.87,28.89
10316.87,29.54
10316.87,28.78
10316.88,28.89
10316.88,29.00
10316.88,29.00
10316.88,29.00
10316.88,29.11
10316.88,30.72
10316.89,29.21
10316.89,29.21
10316.89,28.46
10316.89,29.43
10316.89,28.78
10316.89,28.89
10316.89,29.11
10316.89,28.14
10316.89,29.11
10316.90,29.00
10316.90,28.67
10316.90,28.78
10316.90,28.67
10316.90,29.11
10316.90,28.67
10316.90,29.00
10316.90,29.21
10316.90,29.21
10316.91,29.11
10316.91,28.89
10316.91,29.86
10316.91,29.32
10316.91,29.11
10316.91,28.78
10316.92,30.40
10316.92,29.32
10316.92,30.83
10316.93,29.11
10316.93,29.21
10316.93,29.00
10316.93,30.94
10316.93,28.67
10316.93,28.67
10316.93,28.89
10316.93,28.89
10316.93,28.78
10316.94,28.78
10316.94,29.11
10316.94,29.11
10316.94,28.78
10316.94,28.78
10316.94,28.67
10316.94,29.00
10316.94,28.89
10316.94,28.78
10316.94,28.89
10316.95,29.21
10316.95,29.11
10316.95,28.78
10316.95,28.46
10316.95,29.11
10316.95,29.00
10316.95,28.89
10316.95,29.21
10316.95,29.00
10316.96,28.78
10316.96,29.11
10316.96,28.89
10316.96,29.11
10316.96,29.65
10316.96,29.11
10316.97,30.83
10316.97,29.32
10316.97,29.00
10316.98,28.78
10316.98,29.00
10316.98,29.00
10316.98,28.57
10316.98,29.11
10316.98,29.11
10316.98,29.11
10316.98,29.11
10316.98,29.00
10316.99,28.35
10316.99,28.89
10316.99,29.11
10316.99,28.57
10316.99,28.78
10316.99,28.78
10316.99,28.46
10316.99,29.21
10316.99,29.43
10317.00,29.43
10317.00,29.43
10317.00,29.11
10317.00,29.32
10317.00,29.00
10317.00,29.11
10317.00,29.00
10317.00,28.78
10317.00,28.89
10317.00,27.81
10317.01,28.89
10317.01,28.67
10317.02,28.89
10317.02,28.89
10317.02,29.43
10317.02,28.89
10317.02,30.51
10317.02,28.57
10317.02,28.78
10317.03,30.83
10317.03,28.89
10317.03,28.89
10317.03,28.35
10317.03,28.89
10317.03,29.11
10317.03,29.11
10317.03,29.00
10317.03,28.89
10317.04,29.11
10317.04,29.75
10317.04,29.11
10317.04,29.11
10317.04,29.11
10317.04,29.21
10317.04,29.00
10317.04,29.00
10317.04,28.46
10317.05,28.78
10317.05,29.11
10317.05,29.00
10317.05,29.00
10317.05,29.86
10317.05,29.21
10317.05,28.89
