=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.12.06 02:29:47 =~=~=~=~=~=~=~=~=~=~=~=
,-20.81
3255.82,-22.21
3255.82,-21.24
3255.82,-21.13
3255.82,-21.13
3255.82,-21.67
3255.82,-21.24
3255.83,-21.67
3255.83,-20.91
3255.83,-20.91
3255.83,-21.88
3255.83,-21.02
3255.84,-22.31
3255.84,-21.56
3255.84,-20.81
3255.84,-21.45
3255.84,-21.13
3255.85,-21.24
3255.85,-20.91
3255.85,-21.45
3255.85,-21.56
3255.85,-21.45
3255.85,-21.45
3255.85,-22.10
3255.85,-21.02
3255.85,-22.31
3255.86,-21.99
3255.86,-21.99
3255.86,-19.62
3255.86,-21.02
3255.86,-21.34
3255.86,-19.94
3255.86,-21.67
3255.86,-21.34
3255.86,-20.48
3255.87,-20.91
3255.87,-21.45
3255.87,-20.27
3255.87,-21.67
3255.87,-21.34
3255.87,-20.91
3255.87,-21.56
3255.87,-21.99
3255.88,-19.51
3255.88,-21.34
3255.89,-20.81
3255.89,-21.45
3255.89,-20.91
3255.89,-21.24
3255.89,-21.24
3255.89,-20.91
3255.89,-20.91
3255.89,-22.42
3255.89,-20.91
3255.90,-20.70
3255.90,-21.24
3255.90,-21.45
3255.90,-21.67
3255.90,-21.02
3255.90,-20.91
3255.90,-21.24
3255.90,-21.88
3255.90,-20.91
3255.91,-21.56
3255.91,-20.91
3255.91,-20.91
3255.91,-20.59
3255.91,-20.91
3255.91,-21.45
3255.91,-20.91
3255.91,-21.24
3255.91,-21.45
3255.91,-21.24
3255.92,-21.13
3255.92,-21.56
3255.93,-21.45
3255.93,-21.34
3255.93,-21.99
3255.93,-21.56
3255.93,-20.16
3255.93,-21.13
3255.93,-21.13
3255.94,-20.81
3255.94,-21.67
3255.94,-21.24
3255.94,-19.51
3255.94,-20.91
3255.94,-20.91
3255.94,-21.56
3255.94,-21.02
3255.94,-21.34
3255.95,-21.56
3255.95,-21.45
3255.95,-21.67
3255.95,-19.84
3255.95,-21.02
3255.95,-21.78
3255.95,-21.34
3255.95,-21.13
3255.95,-21.34
3255.95,-21.45
3255.96,-21.56
3255.96,-22.31
3255.96,-19.94
3255.96,-21.45
3255.96,-21.56
3255.97,-20.16
3255.97,-21.45
3255.97,-21.56
3255.97,-21.78
3255.98,-21.34
3255.98,-21.88
3255.98,-20.91
3255.98,-21.45
3255.98,-21.13
3255.98,-21.99
3255.98,-21.13
3255.98,-21.78
3255.98,-21.24
3255.99,-21.13
3255.99,-21.34
3255.99,-20.70
3255.99,-21.45
3255.99,-21.67
3255.99,-21.56
3255.99,-20.70
3255.99,-21.24
3255.99,-22.10
3255.99,-21.24
3256.00,-20.16
3256.00,-21.45
3256.00,-21.67
3256.00,-20.91
3256.00,-20.81
3256.00,-21.13
3256.00,-21.45
3256.00,-20.91
3256.00,-20.37
3256.01,-21.67
3256.01,-21.02
3256.01,-20.91
3256.02,-21.24
3256.02,-20.48
3256.02,-20.70
3256.02,-21.88
3256.02,-21.56
3256.02,-20.59
3256.03,-20.91
3256.03,-21.13
3256.03,-21.45
3256.03,-19.30
3256.03,-20.91
3256.03,-21.56
3256.03,-21.45
3256.03,-21.88
3256.03,-21.24
3256.03,-20.91
3256.04,-21.34
3256.04,-21.13
3256.04,-21.02
3256.04,-21.02
3256.04,-21.45
3256.04,-21.88
3256.04,-21.88
3256.04,-21.02
3256.04,-21.67
3256.05,-21.34
3256.05,-20.70
3256.05,-19.51
3256.05,-21.45
3256.05,-21.99
3256.05,-21.13
3256.06,-20.91
3256.06,-21.13
3256.06,-21.45
3256.07,-20.91
3256.07,-20.91
3256.07,-21.13
3256.07,-20.91
3256.07,-20.81
3256.07,-20.37
3256.07,-21.78
3256.07,-21.34
3256.07,-20.91
3256.07,-21.24
3256.08,-20.91
3256.08,-20.91
3256.08,-21.56
3256.08,-21.34
3256.08,-21.99
3256.08,-21.24
3256.08,-21.13
3256.08,-21.45
3256.08,-21.24
3256.09,-19.94
3256.09,-20.81
3256.09,-21.02
3256.09,-21.45
3256.09,-21.13
3256.09,-20.91
3256.09,-22.64
3256.09,-21.67
3256.09,-21.34
3256.11,-21.24
3256.11,-21.34
3256.11,-21.24
3256.11,-20.37
3256.11,-22.10
3256.11,-21.45
3256.11,-21.34
3256.11,-21.02
3256.11,-21.56
3256.11,-21.56
3256.12,-21.45
3256.12,-21.45
3256.12,-21.24
3256.12,-19.62
3256.12,-21.13
3256.12,-21.13
3256.12,-21.02
3256.12,-19.19
3256.12,-19.51
3256.13,-19.94
3256.13,-21.13
3256.13,-20.91
3256.13,-21.45
3256.13,-21.56
3256.13,-21.13
3256.13,-22.10
3256.13,-20.91
3256.13,-20.81
3256.14,-21.02
3256.15,-21.24
3256.15,-20.91
3256.15,-21.67
3256.15,-21.34
3256.15,-20.91
3256.15,-21.02
3256.15,-21.02
3256.15,-21.02
3256.15,-21.24
3256.16,-21.13
3256.16,-20.91
3256.16,-20.91
3256.16,-21.45
3256.16,-21.02
3256.16,-21.56
3256.16,-22.21
3256.16,-20.59
3256.16,-21.24
3256.17,-20.91
3256.17,-21.34
3256.17,-21.45
3256.17,-20.91
3256.17,-21.88
3256.17,-21.34
3256.17,-21.02
3256.17,-19.40
3256.17,-21.02
3256.18,-21.02
3256.18,-21.88
3256.18,-20.91
3256.18,-21.56
3256.18,-19.62
3256.19,-21.24
3256.19,-21.34
3256.19,-20.27
3256.19,-21.24
3256.19,-21.67
3256.20,-21.02
3256.20,-21.24
3256.20,-21.13
3256.20,-21.24
3256.20,-20.81
3256.20,-21.02
3256.20,-20.91
3256.20,-21.13
3256.20,-21.02
3256.21,-21.56
3256.21,-20.91
3256.21,-21.13
3256.21,-21.88
3256.21,-20.91
3256.21,-21.34
3256.21,-21.13
3256.21,-21.13
3256.21,-20.91
3256.22,-21.13
3256.22,-20.91
3256.22,-21.34
3256.22,-21.56
3256.22,-21.56
3256.22,-20.91
3256.22,-20.16
3256.22,-21.13
3256.23,-20.91
3256.23,-20.16
3256.24,-21.99
3256.24,-21.13
3256.24,-20.37
3256.24,-20.37
3256.24,-21.24
3256.24,-21.88
3256.24,-21.34
