=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.12.06 02:20:59 =~=~=~=~=~=~=~=~=~=~=~=,
2728.2,-21.99
2728.2,-20.91
2728.2,-20.81
2728.2,-21.88
2728.2,-21.45
2728.2,-21.45
2728.2,-21.67
2728.2,-20.91
2728.2,-21.78
2728.21,-20.7
2728.21,-20.59
2728.21,-21.13
2728.22,-21.45
2728.22,-21.13
2728.22,-21.13
2728.22,-21.24
2728.22,-21.24
2728.22,-21.02
2728.23,-21.24
2728.23,-20.91
2728.23,-21.56
2728.23,-19.51
2728.23,-21.45
2728.23,-22.75
2728.23,-20.91
2728.23,-21.45
2728.23,-21.13
2728.23,-20.91
2728.24,-21.45
2728.24,-21.24
2728.24,-20.37
2728.24,-20.81
2728.24,-21.02
2728.24,-21.34
2728.24,-18.97
2728.24,-21.02
2728.24,-21.02
2728.25,-20.91
2728.25,-21.24
2728.25,-21.56
2728.25,-21.88
2728.25,-21.56
2728.25,-21.24
2728.25,-20.91
2728.26,-21.45
2728.26,-21.34
2728.27,-21.45
2728.27,-20.27
2728.27,-21.45
2728.27,-21.45
2728.27,-21.13
2728.27,-20.91
2728.27,-20.05
2728.27,-20.7
2728.27,-21.24
2728.27,-21.02
2728.28,-21.45
2728.28,-21.67
2728.28,-20.91
2728.28,-21.02
2728.28,-21.02
2728.28,-21.34
2728.28,-21.88
2728.28,-21.67
2728.28,-21.02
2728.29,-21.02
2728.29,-21.24
2728.29,-21.24
2728.29,-21.34
2728.29,-21.67
2728.29,-21.24
2728.29,-21.45
2728.29,-20.91
2728.29,-21.13
2728.3,-20.91
2728.3,-21.13
2728.3,-21.13
2728.3,-21.45
2728.31,-20.16
2728.31,-20.91
2728.31,-19.4
2728.31,-21.02
2728.31,-21.24
2728.31,-21.45
2728.32,-21.02
2728.32,-21.45
2728.32,-21.24
2728.32,-20.91
2728.32,-20.91
2728.32,-21.88
2728.32,-20.91
2728.32,-21.56
2728.32,-21.34
2728.33,-20.48
2728.33,-21.67
2728.33,-21.34
2728.33,-21.67
2728.33,-19.84
2728.33,-20.91
2728.33,-20.91
2728.33,-21.13
2728.33,-20.91
2728.34,-21.67
2728.34,-20.37
2728.34,-20.91
2728.34,-21.02
2728.34,-21.13
2728.34,-21.13
2728.34,-21.24
2728.34,-21.34
2728.35,-21.45
2728.35,-19.62
2728.36,-21.02
2728.36,-21.24
2728.36,-21.67
2728.36,-20.59
2728.36,-21.02
2728.36,-21.24
2728.36,-21.45
2728.36,-21.45
2728.36,-21.88
2728.37,-21.88
2728.37,-21.67
2728.37,-21.34
2728.37,-20.91
2728.37,-22.42
2728.37,-21.34
2728.37,-21.13
2728.37,-21.45
2728.37,-20.16
2728.38,-21.02
2728.38,-21.13
2728.38,-21.34
2728.38,-20.91
2728.38,-20.37
2728.38,-21.13
2728.38,-21.56
2728.38,-20.91
2728.39,-19.3
2728.39,-20.91
2728.4,-19.73
2728.4,-21.13
2728.4,-21.67
2728.4,-21.34
2728.4,-21.13
2728.4,-21.34
2728.4,-21.13
2728.4,-19.3
2728.4,-21.24
2728.41,-21.24
2728.41,-22.21
2728.41,-21.24
2728.41,-21.88
2728.41,-21.67
2728.41,-19.73
2728.41,-20.37
2728.41,-20.81
2728.41,-21.56
2728.42,-21.45
