=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.12.06 01:54:52 =~=~=~=~=~=~=~=~=~=~=~=
,-20.91
1161.59,-21.34
1161.59,-21.34
1161.59,-21.02
1161.59,-21.45
1161.59,-21.13
1161.59,-21.34
1161.59,-21.13
1161.59,-19.51
1161.59,-20.91
1161.60,-21.99
1161.60,-20.59
1161.60,-20.70
1161.60,-21.88
1161.60,-20.81
1161.60,-21.02
1161.60,-20.91
1161.61,-19.08
1161.61,-20.27
1161.62,-21.13
1161.62,-19.94
1161.62,-20.91
1161.62,-20.91
1161.62,-21.56
1161.62,-19.51
1161.62,-20.91
1161.62,-20.81
1161.62,-20.91
1161.62,-21.34
1161.63,-20.91
1161.63,-20.70
1161.63,-19.30
1161.63,-21.02
1161.63,-20.91
1161.63,-21.45
1161.63,-20.91
1161.63,-20.91
1161.63,-20.16
1161.64,-21.56
1161.64,-20.91
1161.64,-20.91
1161.64,-21.13
1161.64,-20.91
1161.64,-20.91
1161.64,-21.24
1161.64,-21.02
1161.64,-20.91
1161.65,-21.24
1161.66,-21.24
1161.66,-20.91
1161.66,-19.73
1161.66,-20.48
1161.66,-21.02
1161.66,-20.91
1161.66,-21.02
1161.66,-21.02
1161.66,-20.05
1161.67,-21.13
1161.67,-19.40
1161.67,-19.19
1161.67,-20.37
1161.67,-21.24
1161.67,-20.37
1161.67,-21.45
1161.67,-20.81
1161.67,-20.37
1161.68,-21.02
1161.68,-20.91
1161.68,-20.70
1161.68,-21.67
1161.68,-20.70
1161.68,-21.13
1161.68,-21.02
1161.68,-20.91
1161.68,-19.94
1161.69,-21.13
1161.69,-21.13
1161.69,-21.02
1161.69,-19.51
1161.69,-20.91
1161.70,-20.91
1161.70,-21.02
1161.70,-21.13
1161.70,-21.45
1161.70,-21.02
1161.71,-20.16
1161.71,-19.19
1161.71,-19.51
1161.71,-20.70
1161.71,-21.02
1161.71,-21.13
1161.71,-19.19
1161.71,-20.37
1161.71,-21.24
1161.72,-20.91
1161.72,-21.34
1161.72,-21.24
1161.72,-20.91
1161.72,-20.91
1161.72,-21.02
1161.72,-21.45
1161.72,-21.24
1161.72,-20.91
1161.73,-20.91
1161.73,-20.16
1161.73,-20.91
1161.73,-21.56
1161.73,-20.81
1161.73,-19.30
1161.73,-21.02
1161.73,-20.91
1161.73,-21.67
1161.74,-20.91
1161.75,-21.24
1161.75,-21.13
1161.75,-20.37
1161.75,-21.02
1161.75,-21.24
1161.75,-21.24
