=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.12.06 00:32:03 =~=~=~=~=~=~=~=~=~=~=~=
,37.73
14971.24,38.38
14971.24,39.56
14971.25,38.70
14971.25,37.62
14971.25,38.27
14971.25,39.56
14971.25,37.84
14971.25,38.27
14971.26,37.73
14971.26,39.67
14971.26,38.05
14971.26,37.73
14971.26,37.73
14971.26,38.05
14971.26,37.84
14971.26,38.81
14971.26,37.73
14971.27,38.05
14971.27,37.62
14971.27,37.95
14971.27,37.84
14971.27,38.05
14971.27,38.05
14971.27,37.73
14971.27,37.73
14971.27,37.84
14971.28,38.05
14971.28,37.84
14971.28,37.84
14971.28,37.84
14971.28,37.95
14971.28,37.95
14971.28,38.05
14971.28,37.95
14971.28,37.84
14971.28,38.48
14971.29,37.73
14971.29,37.73
14971.30,37.73
14971.30,37.73
14971.30,37.84
14971.30,37.84
14971.30,37.73
14971.30,39.24
14971.30,37.73
14971.31,38.05
14971.31,37.95
14971.31,37.84
14971.31,38.16
14971.31,37.73
14971.31,38.05
14971.31,37.84
14971.31,37.73
14971.31,37.84
14971.32,37.84
14971.32,37.73
14971.32,37.84
14971.32,37.62
14971.32,37.95
14971.32,38.48
14971.32,39.67
14971.32,38.27
14971.32,40.21
14971.33,37.62
14971.33,38.05
14971.33,38.38
14971.33,37.95
14971.33,39.24
14971.33,38.48
14971.33,37.73
14971.33,37.19
14971.33,37.84
14971.35,38.48
14971.35,37.84
14971.35,37.73
14971.35,38.70
14971.35,37.84
14971.35,37.73
14971.35,37.62
14971.35,37.73
14971.35,37.73
14971.35,37.73
14971.36,38.05
14971.36,38.38
14971.36,38.48
14971.36,37.84
14971.36,37.73
14971.36,37.73
14971.36,37.73
14971.36,37.95
14971.36,37.84
14971.37,38.16
14971.37,38.27
14971.37,37.73
14971.37,37.84
14971.37,38.92
14971.37,37.73
14971.37,37.51
14971.37,37.73
14971.37,37.84
14971.38,37.84
14971.38,37.73
14971.38,37.95
14971.38,37.73
14971.39,37.95
14971.39,38.05
14971.39,38.70
14971.39,37.84
14971.39,37.73
14971.40,37.73
14971.40,38.05
14971.40,37.73
14971.40,37.84
14971.40,39.89
14971.40,37.95
14971.40,37.73
14971.40,37.73
14971.40,37.84
14971.41,37.73
14971.41,37.41
14971.41,36.76
14971.41,37.95
14971.41,37.73
14971.41,38.38
14971.41,37.73
14971.41,37.73
14971.41,37.73
14971.41,37.73
14971.42,39.02
14971.42,37.62
14971.42,37.73
14971.42,37.62
14971.42,37.73
14971.42,37.73
14971.42,37.73
14971.42,38.81
14971.42,38.81
14971.44,37.95
